ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
6877,20,6,2023,28,P,533,13,1,30000
9935,26,1,2022,31,L,580,18,1,40000
3062,25,9,2024,57,L,97,6,8,30000
7036,2,6,2022,56,P,620,11,12,20000
7117,5,11,2023,70,L,435,4,10,30000
3879,29,11,2022,71,L,625,2,11,30000
1094,21,1,2024,29,L,200,15,2,10000
1029,11,7,2022,71,P,933,3,2,30000
6247,22,8,2022,46,L,473,15,1,30000
2794,14,11,2022,76,L,875,11,3,20000
2747,6,3,2023,46,L,546,10,4,30000
4607,10,8,2023,80,L,565,4,4,10000
3237,14,2,2024,54,L,384,11,2,40000
1393,28,8,2024,57,P,169,18,7,50000
4158,6,7,2024,27,P,430,16,1,50000
8850,11,9,2024,54,L,636,17,5,30000
3276,18,9,2023,71,P,119,15,2,20000
5157,6,5,2023,32,P,24,18,2,10000
7197,30,12,2023,27,P,866,1,11,40000
7372,15,1,2024,27,L,949,4,11,20000
9072,8,10,2023,43,L,163,10,11,50000
1813,11,12,2022,69,P,528,19,13,20000
2838,3,11,2022,62,L,410,9,10,40000
3301,7,8,2024,47,P,119,2,12,20000
3903,21,8,2022,35,P,572,6,4,40000
7978,8,10,2024,31,P,851,13,1,10000
880,17,7,2022,21,L,954,16,9,20000
3614,28,12,2022,80,P,181,9,7,20000
9017,7,12,2023,61,P,384,7,11,30000
8212,21,11,2023,45,L,999,6,14,50000
2496,29,6,2022,32,P,415,3,10,10000
1839,24,1,2024,39,L,502,2,2,30000
4170,21,4,2023,37,L,863,13,5,50000
3685,31,11,2023,74,L,760,20,3,10000
2709,10,1,2022,64,P,420,2,4,40000
5833,13,1,2024,65,P,596,14,4,50000
5197,21,11,2022,56,P,52,17,7,50000
8122,27,5,2022,55,L,64,3,6,50000
8148,4,2,2024,29,L,277,18,8,30000
7406,13,12,2022,71,L,776,15,2,10000
5703,24,2,2022,27,P,256,6,3,50000
2024,8,10,2022,41,P,84,12,2,50000
8781,25,1,2024,55,P,409,8,12,20000
3240,26,2,2023,79,P,820,10,7,50000
6850,30,9,2022,24,P,266,17,7,20000
6918,5,4,2023,71,P,283,15,10,30000
5027,9,9,2023,58,P,567,20,14,40000
4104,27,2,2023,57,L,989,2,8,20000
3518,16,3,2023,73,L,675,1,3,40000
8079,29,6,2024,73,L,365,11,10,40000
5092,2,8,2022,66,L,899,6,14,10000
6256,17,4,2023,54,L,12,11,13,50000
732,8,3,2024,66,P,405,8,1,30000
4644,20,8,2022,71,P,73,5,8,20000
8084,7,11,2022,78,L,323,2,12,10000
2176,21,12,2023,31,L,184,11,5,40000
4588,5,9,2023,55,L,735,18,5,50000
7150,24,7,2022,56,L,592,11,8,30000
4145,2,8,2023,53,P,723,15,6,40000
4109,8,3,2024,56,P,382,17,4,20000
4753,19,5,2023,59,L,329,13,2,10000
5591,8,6,2023,51,P,730,11,12,30000
6013,19,12,2022,54,L,985,10,5,40000
1290,23,6,2023,26,P,429,16,14,10000
2954,21,9,2022,36,L,895,7,12,40000
3309,1,2,2023,78,P,268,16,10,40000
3368,11,4,2022,46,P,176,19,6,30000
8561,3,11,2022,69,P,595,14,4,10000
1960,28,4,2024,26,L,562,7,14,40000
8815,21,11,2024,74,L,879,7,10,40000
8446,21,6,2022,54,L,683,10,10,30000
169,6,3,2024,79,L,782,11,10,20000
2597,31,10,2022,30,L,91,15,14,20000
3506,25,12,2023,70,L,591,6,13,30000
2614,29,9,2022,59,P,449,1,5,30000
7845,8,11,2023,34,P,912,20,3,30000
4967,10,4,2022,73,P,778,1,9,10000
4864,8,10,2024,53,P,351,11,9,50000
7543,2,1,2022,51,P,523,1,11,40000
1369,5,6,2023,30,L,354,9,5,50000
503,13,3,2023,59,L,459,15,1,30000
6049,23,5,2024,69,L,851,4,12,40000
230,1,1,2023,64,L,270,18,13,50000
7902,12,7,2023,38,L,916,14,14,40000
2412,12,11,2024,29,P,589,12,9,10000
3149,14,4,2023,70,P,781,8,2,30000
4840,14,11,2022,21,P,364,11,14,10000
468,23,9,2024,32,L,166,10,14,50000
1171,29,4,2023,62,P,126,14,12,30000
8421,27,12,2024,23,L,583,12,14,40000
4222,5,4,2024,47,L,805,6,2,50000
5331,17,10,2022,53,L,225,2,3,50000
2159,6,3,2023,25,P,106,5,13,40000
2674,17,4,2023,75,P,924,6,11,30000
4273,26,7,2022,79,P,145,13,11,50000
5192,12,9,2024,56,P,992,1,6,10000
831,7,2,2022,74,P,990,11,6,40000
5859,19,10,2023,79,L,680,10,10,30000
3572,26,7,2022,56,P,85,20,4,40000
6431,27,4,2024,42,L,691,11,4,40000
3439,25,2,2024,79,P,864,1,6,40000
4030,25,8,2023,76,L,462,16,6,40000
8642,5,12,2024,40,P,209,14,11,50000
3834,11,10,2024,21,P,946,2,14,10000
4852,21,3,2023,22,P,128,14,11,10000
825,17,9,2023,33,L,65,6,1,10000
4837,9,12,2024,52,P,158,12,11,40000
6304,14,6,2024,78,L,702,12,5,20000
4421,22,9,2023,39,P,192,12,4,10000
9176,19,12,2023,23,P,95,11,12,20000
1064,19,10,2022,37,P,631,6,14,50000
9399,15,1,2023,28,P,589,9,11,40000
6203,1,11,2022,76,P,465,14,8,30000
9109,26,4,2022,31,L,556,18,12,40000
3704,7,1,2024,33,L,920,14,14,50000
7090,15,3,2022,56,L,733,1,10,50000
3653,10,12,2022,37,P,691,18,11,50000
1480,29,6,2024,75,L,236,3,3,30000
2010,11,8,2024,47,L,361,12,12,50000
1037,21,7,2024,45,P,39,4,2,30000
1215,16,8,2023,27,L,245,12,6,20000
6625,23,12,2024,23,L,64,11,3,40000
1159,10,9,2022,69,P,64,6,3,10000
2503,13,2,2024,28,L,322,3,14,10000
1118,4,10,2023,41,L,52,15,12,50000
3052,27,2,2024,74,P,843,7,12,50000
5260,12,4,2022,71,P,919,2,14,40000
3993,15,9,2022,52,P,905,12,5,20000
3574,18,5,2023,27,P,67,12,2,50000
9084,6,3,2023,65,P,199,16,1,10000
8201,16,8,2023,65,P,689,13,8,50000
1958,21,4,2024,42,P,435,3,5,40000
3878,5,7,2023,58,L,493,15,7,30000
7254,11,10,2024,28,L,28,5,13,40000
6149,22,3,2024,46,L,263,12,13,50000
4473,15,5,2023,42,L,749,19,12,20000
9813,8,6,2024,25,L,197,5,12,50000
352,28,8,2024,36,L,944,16,3,30000
4448,2,6,2024,71,P,227,14,2,10000
3748,7,7,2024,36,L,149,14,7,20000
8136,20,12,2023,27,P,184,8,14,20000
415,14,8,2023,31,L,331,6,13,30000
1287,30,3,2024,48,L,225,19,10,10000
4166,6,4,2023,57,L,68,3,1,30000
1519,11,4,2022,27,L,982,11,14,20000
6745,13,4,2024,49,L,936,11,5,40000
8018,26,7,2022,38,P,458,15,9,30000
8004,16,7,2023,72,L,600,17,13,10000
2977,22,6,2024,47,L,72,4,2,50000
9264,8,11,2024,44,P,565,10,12,20000
4527,21,12,2022,38,P,684,8,13,30000
9736,23,4,2023,42,P,399,5,13,20000
5645,5,9,2023,39,L,997,13,7,40000
8466,16,8,2024,50,P,470,5,2,40000
9726,23,4,2022,66,P,856,15,11,50000
4531,27,7,2024,29,P,751,3,13,20000
9014,3,2,2022,62,L,763,10,3,50000
5970,9,9,2022,21,P,734,13,8,10000
984,27,8,2022,74,L,207,18,12,10000
9642,2,6,2023,78,L,966,19,5,10000
3112,23,11,2022,69,L,515,19,11,20000
5393,17,5,2022,35,L,483,11,9,40000
5901,31,12,2022,45,P,221,4,14,20000
822,6,3,2023,30,P,492,17,5,50000
9924,1,4,2023,36,L,830,14,9,40000
6981,29,7,2022,65,P,746,2,8,40000
2315,10,6,2022,56,P,853,11,9,50000
8659,14,6,2022,69,P,298,2,9,10000
1650,6,7,2024,56,P,105,8,2,30000
560,1,12,2022,71,L,102,8,9,30000
3077,7,9,2022,40,L,425,12,6,10000
3263,2,11,2022,61,P,848,7,14,30000
8320,31,9,2023,32,L,732,16,10,40000
2876,1,9,2022,48,L,806,7,1,30000
4390,31,11,2024,56,L,128,8,7,20000
2934,18,7,2022,32,L,354,7,12,50000
6576,26,8,2024,26,P,893,6,14,50000
4105,10,1,2022,23,L,728,12,7,10000
2559,3,5,2024,26,P,267,17,9,40000
4355,9,7,2024,47,L,811,2,3,20000
2431,27,7,2022,54,P,362,3,13,20000
8172,1,4,2023,65,P,538,3,9,40000
3842,16,11,2024,33,P,485,2,4,50000
5348,9,6,2023,67,L,104,10,11,30000
194,1,4,2022,80,P,282,2,14,10000
307,13,6,2022,74,P,65,19,13,50000
6647,22,7,2022,39,L,507,3,11,20000
13,16,5,2022,43,L,508,15,9,50000
7793,10,9,2022,50,P,464,13,10,30000
8644,13,11,2022,31,P,582,15,10,50000
8679,31,6,2024,22,P,932,18,1,30000
2641,26,4,2024,47,P,845,18,12,30000
727,25,4,2022,79,L,320,12,5,40000
663,28,3,2023,77,P,966,14,5,10000
2681,10,2,2023,58,L,204,8,8,30000
2051,11,10,2024,29,L,727,20,14,40000
5791,18,3,2022,76,L,972,10,12,30000
4619,24,8,2022,57,L,656,7,13,20000
952,11,11,2024,30,P,55,4,6,10000
4355,8,4,2024,37,P,916,15,11,20000
4160,22,4,2022,40,P,128,8,2,20000
2053,28,12,2024,57,P,38,4,1,20000
198,8,10,2024,35,L,45,19,5,20000
8613,26,6,2024,57,L,163,19,10,50000
1068,16,8,2023,72,P,35,9,6,40000
6462,30,7,2022,35,L,897,18,3,40000
3296,9,2,2024,38,P,910,17,8,50000
9852,10,7,2022,53,L,715,9,3,40000
2742,7,6,2022,30,P,61,13,3,30000
7009,14,5,2023,28,P,217,2,13,50000
7629,19,7,2022,25,L,117,8,8,30000
4049,23,6,2024,30,P,982,6,11,20000
3606,1,3,2024,35,P,133,8,11,30000
8237,13,2,2023,27,L,565,19,14,20000
1205,25,8,2023,34,P,625,17,8,30000
4884,2,8,2022,74,P,985,10,8,30000
1333,20,7,2022,46,P,226,7,14,50000
9231,22,11,2023,63,L,275,2,14,20000
1391,31,5,2022,22,P,691,5,7,10000
2554,6,5,2023,49,L,590,5,10,40000
1941,9,11,2024,63,P,143,2,9,50000
6492,19,12,2024,64,P,442,13,14,50000
5968,26,6,2022,79,P,895,4,14,10000
6158,29,8,2024,45,L,631,7,5,20000
7191,15,6,2023,50,L,67,12,4,30000
4582,28,8,2024,76,P,841,7,1,50000
937,12,9,2023,24,L,444,2,3,30000
8924,2,9,2024,76,L,294,3,14,40000
9928,21,4,2022,58,P,536,16,11,40000
38,22,10,2024,25,L,811,5,1,10000
1156,19,9,2023,80,L,498,1,7,20000
2179,23,8,2024,22,L,877,2,3,30000
1593,17,10,2022,57,L,952,12,11,20000
1829,18,3,2022,80,L,111,16,10,10000
7872,4,12,2024,31,P,233,1,8,20000
4679,4,5,2022,34,P,476,12,2,10000
7397,5,11,2023,51,L,83,6,7,40000
494,19,3,2023,58,L,168,16,3,20000
8378,25,7,2022,75,L,848,7,7,30000
2537,18,10,2023,63,L,340,8,10,30000
6136,13,4,2023,37,L,817,15,11,40000
7155,20,6,2022,72,P,754,4,11,30000
5201,8,7,2022,37,P,176,20,14,40000
2136,26,10,2023,43,P,442,19,2,20000
8186,28,8,2022,35,P,105,16,8,20000
6195,12,6,2024,78,L,980,15,8,50000
3950,29,4,2023,77,P,366,5,14,50000
5201,9,5,2024,66,L,982,10,9,40000
9131,25,6,2023,43,P,393,2,14,30000
2767,21,12,2024,66,P,709,14,11,30000
629,10,1,2023,26,P,48,9,7,30000
7930,5,1,2024,52,L,379,2,10,20000
865,16,12,2024,24,P,326,2,4,50000
5033,15,4,2022,21,L,175,18,1,10000
8730,7,8,2023,52,P,551,7,12,40000
1451,7,9,2024,44,P,798,1,10,40000
5655,15,11,2022,75,P,687,10,13,10000
6791,3,11,2024,79,P,828,11,2,10000
9364,9,12,2024,41,L,908,18,6,40000
657,18,12,2024,41,L,31,5,4,30000
4710,11,3,2024,44,L,514,18,1,30000
7675,29,8,2022,69,L,757,12,3,40000
1052,28,5,2024,57,L,406,12,4,10000
6649,17,6,2024,72,P,349,13,3,10000
620,31,6,2024,53,L,766,8,4,50000
9119,10,10,2023,64,P,763,1,7,30000
4511,30,4,2022,56,P,272,12,7,50000
9125,10,2,2024,50,L,873,11,1,10000
7426,22,6,2022,35,P,977,15,3,10000
4365,15,4,2023,39,L,511,2,2,10000
4605,22,2,2023,53,L,551,5,5,30000
9044,27,7,2023,73,P,688,16,5,50000
450,3,9,2022,44,L,952,8,13,40000
4522,23,3,2024,49,L,14,4,3,40000
9877,11,1,2023,46,L,189,10,11,30000
6592,30,5,2024,55,L,482,12,14,30000
2754,26,10,2023,23,L,164,6,10,40000
7781,6,5,2022,23,P,901,10,13,20000
7125,22,6,2022,25,P,248,20,10,50000
886,17,3,2022,39,P,25,18,14,20000
9756,20,11,2022,59,P,942,17,9,30000
113,16,3,2024,68,P,80,4,13,30000
3738,16,1,2024,74,L,209,16,13,30000
9832,19,3,2022,52,L,910,5,1,40000
7644,17,11,2023,32,L,326,20,12,20000
5699,23,7,2022,41,L,790,15,12,50000
3572,20,8,2022,76,L,197,14,10,20000
2354,21,8,2023,45,P,444,11,1,10000
9749,26,3,2024,36,P,945,15,5,50000
8582,23,4,2024,52,P,969,18,10,40000
3527,8,7,2023,40,P,940,13,6,30000
9319,5,12,2022,54,L,30,19,6,50000
7829,8,10,2024,30,L,161,16,3,30000
313,9,10,2022,54,P,583,5,11,10000
4066,24,1,2022,74,P,937,5,4,40000
378,12,5,2023,45,P,396,10,14,50000
8428,10,9,2023,61,L,682,14,13,20000
5770,16,6,2024,63,P,790,17,9,30000
1891,14,1,2024,73,P,353,9,8,50000
8893,5,3,2022,26,P,618,9,10,20000
9941,20,9,2022,28,L,927,11,1,50000
2339,1,10,2022,24,L,532,17,14,30000
1406,18,9,2024,65,L,516,5,11,40000
3222,28,2,2022,61,L,262,11,1,30000
5295,26,9,2022,54,L,852,12,13,10000
6701,4,6,2022,21,L,707,11,5,30000
66,29,12,2022,36,L,356,20,9,40000
460,16,3,2022,70,L,898,6,5,40000
4361,10,5,2024,68,L,384,7,13,40000
7282,28,1,2024,68,P,176,15,3,10000
8465,29,10,2022,77,P,363,6,3,10000
3020,4,5,2023,28,P,885,15,6,10000
8903,5,6,2024,39,P,770,1,1,30000
783,30,6,2022,54,P,779,13,13,10000
3915,1,12,2022,71,P,458,3,11,50000
9733,31,9,2022,49,P,89,18,10,40000
5315,30,12,2024,21,P,276,12,7,20000
5228,5,2,2023,47,L,603,8,9,30000
7468,1,2,2024,77,P,303,1,1,10000
6550,31,12,2024,58,P,32,20,14,10000
5754,20,11,2024,69,P,355,12,10,20000
8091,9,1,2024,61,L,644,6,14,30000
6732,9,10,2022,30,L,945,10,14,10000
3017,29,4,2023,39,P,991,11,9,50000
8197,27,6,2024,51,L,506,20,9,10000
1301,22,1,2022,66,P,851,17,3,10000
3061,27,5,2022,55,L,834,5,5,30000
5816,6,10,2024,58,P,414,3,10,40000
9135,19,3,2023,50,P,938,5,11,50000
9776,26,5,2024,34,L,679,10,9,20000
1475,23,4,2022,63,L,45,19,6,20000
8668,2,4,2023,22,L,83,15,14,10000
6873,24,5,2024,78,P,448,18,3,40000
3256,13,7,2022,37,P,439,18,1,40000
1515,27,8,2023,39,L,536,7,1,50000
2337,9,8,2024,33,L,840,13,6,30000
8281,24,7,2024,78,L,964,16,9,50000
747,16,9,2023,49,L,874,1,8,40000
4569,11,6,2022,57,P,663,6,2,10000
4229,16,10,2023,63,P,208,4,1,40000
4651,31,8,2023,55,P,710,9,5,30000
3778,28,6,2022,43,P,156,12,5,10000
716,30,5,2022,56,L,808,2,6,30000
5851,30,6,2022,44,P,471,10,8,10000
8827,13,4,2024,25,P,346,17,7,10000
5815,23,3,2023,73,P,523,10,14,50000
2603,29,2,2022,32,L,447,8,3,50000
5102,25,3,2022,60,P,578,9,11,40000
2132,30,6,2022,29,L,971,16,11,50000
6153,13,1,2024,22,P,15,1,11,50000
1612,11,11,2024,51,P,527,19,11,30000
6348,23,9,2023,62,L,693,8,4,50000
5670,16,12,2022,39,L,971,7,7,10000
1733,16,8,2024,55,P,216,18,10,50000
5281,6,5,2022,68,P,782,10,11,10000
4039,10,1,2023,44,L,159,11,11,20000
1043,12,5,2024,54,P,246,3,9,30000
4536,30,12,2022,21,L,461,10,8,10000
2297,25,8,2024,62,P,502,15,11,50000
3607,18,10,2022,66,L,317,5,7,10000
8433,12,7,2022,55,L,545,11,4,10000
699,6,5,2024,59,L,929,9,9,30000
7593,6,12,2023,75,P,715,17,4,50000
9780,3,12,2023,74,P,8,11,4,40000
7916,19,7,2024,74,L,236,16,12,20000
4646,5,5,2022,60,L,191,9,9,40000
